id	nameoflecturers	commentonassesmentdata	commentonmoduleevaluation	responserate	expandasappropriate	feedbackavaiabletostudents	effectivenessofchanges	nextenhancements	roleonmodule	submit	staffid	staffname	timecompleted	assessexam	assesscoursework	assessother	deviate	updatespecification	studentsprepared	learningresourcesupport	studentprogress	feedbacktimely
MATH2011	Dr Alan Kimber	This may be regarded as an applied calculus course. The mark distribution for this module was in line with the MATH1050 (Calculus I) and MATH1051 (Calculus II) results last year for this cohort of students. 	The module evaluation results are broadly very positive. It is good that the students appreciated the quick turnaround of the feedback for the class tests.  A small issue of how quickly the solutions to non-assessed exercises should become available on Blackboard was dealt with as a result of the week 5 informal feedback process.	40%	Re q4: The syllabus is rather full, so I only had time to discuss Bayesian inference and the multinomial distribution very briefly. It may be that a small amount of trimming of the syllabus is desirable.  Re q5: A subset of the class were very sloppy when using some basic mathematical techniques such as integration. I posted relevant revision material on Blackboard but I suspect that some students unwisely did not make full use of this material. 	Feedback was included on the blackboard page for the module and the students were informed of this by email within one week of the relevant exam board.	The current syllabus is:<br />Random variables; probability, probability density and cumulative distribution functions; Expected value and variance of a random variable. Bernoulli trials, binomial, Poisson, geometric, hypergeometric, negative binomial distributions, and their inter-relationships. Poisson process. Probability generating functions.<br />  <br />Moment and cumulant generating functions; exponential, gamma, normal, lognormal, uniform, Cauchy and beta distributions.<br />  <br />Joint distributions; conditional distributions; independence; conditional expectations. Covariance, correlation.<br />  <br />Distributions of functions of random variables, including sums, means, products and ratios.  Transformations of random variables; use of Jacobians; marginal distributions.<br />  <br />Proof of Central Limit Theorem. Derivation of chi-squared, t and F distribtions, and their uses.  Distributions of sample mean and sample variance.<br />  <br />Estimation: Method of moments and maximum likelihood, efficiency, bias consistency and mean square error, unbiasedness, asymptotic properties of estimators.  Confidence intervals for one and two samples for binomial and Poisson mean and for means and variances of normal distributions.  Use of paired data.<br />  <br />Introduction to statistical inference; hypothesis testing; significance level, power, likelihood ratios, particularly demonstrating uses of chi-squared, t and F distributions, Bayesian inference.<br />  <br />Multivariate distributions and moment generating function; multinomial distribution; bivariate normal distribution; correlation. Distributions of maximum and minimum observations.<br />  <br />Compound distributions: conditional expectations, mean and variance of a random variable from expected values of conditional expected values.<br />  <br />     No major changes to the module were made this year. The tutorial session was at a more civilised time this year and I also asked for it immediately to follow a lecture slot. Tutorial attendance certainly seemed higher this year. 	Overall I think the module worked well this year. I made some use of Mathematica demos in lectures to illustrate some ideas in a dynamic rather than static way. I think that it is worth considering extending this aspect of the lecture delivery. 	Module lead	Save and Submit	1839071	Dr Alan Kimber	1394539339	80	0	20	no	yes	yes	yes	yes	yes
MATH2013	Dr Athanasios Avramidis, Dr Patrick Beullens	"This ""Module review"" thing does not seem to work as I would expect. I have filled in a detailed report, then emailed my colleague Thanos to comment, before I prese the ""submit"" buttion. Now I find out that everything is apparently ""reset"". So I will be brief.     Assessment: in line with expectations. Overall an improvement compared to last year - relatively less students at the bottom. Coursework in general high marks - students indeed work hard. Exam is much more difficult, and aims to distinguish the brightest from the bright: exam results this year are improved which explains the overall better result compared to last year."	About 30% of students have responded via iSurvey - still low but still a much better response rate than last year's. (We have put more effort in repeating our request to give us feedback). Overall results are rather excellent this year.    We have also performed the informal feedback round following the procedure set out by A. Kimber. We received overall very good feedback on that. We have replied by e-mail to all students about which points we could improve now, which ones we may consider for next year, and which suggestions are difficult to implement and why. 	13%	Yes. We have managed to provide written and personalised feedback on the LP coursework within one week (last year, because the involvement of several assessors, logistical problems caused it to take us 3 weeks). Students appreciated this.	Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	"Changes were made to the delivery of the material, where TIMELY FEEDBACK was the key aim, by the introduction of:  * more emphasis during lectures and tutorials on typical pitfalls - it is for learning not only important to teach the correct way of thinking, but to show how not to think and why (based on our experience from teaching previous cohorts)  * we introduced a series of Quizzes (multiple choice questions mostly, with answers); each Quiz e-mailed to students when a certain topic was completed.   * In each tutorial, we distributed a hardcopy of one or two ""exam-style"" questions, to reward those present and also to show the level of difficulty they can expect.   * Regularly reminding students that they can visit us during office hours (e.g. Wed 1-2pm) for individual support, which indeed some students responded to.  Based on student's informal and iSurvey feedback, this seems to have paid off. "	We think the content and materials are now Ok, with minor modifications and further improvements still possible. For example, every exercise or example should be carefully chosen and lead to some important more general insights that can be explicity formulated and incorporated in the lecture delivery strategy.   Most importantly, we must strive to repeat the success of this year by keeping TIMELY FEEDBACK strategies at the forefront of our mind.     Patrick Beullens and Thanos Avramides, 14 Feb, 2014.	Module lead	Save and Submit	1963465	Dr Patrick Beullens	1392384042	60	40	0	no	no	yes	yes	yes	yes
MATH2014	Dr Maria Battarra	I believe the exam was ok, but students in this cohort are very heterogeneous (many first class and many low marks)	"Students were in general pleased with the module. There are still a few students that find the computer-based quizzes challenging (and would expect very ""similar questions"" in the mock quiz on the Blackboard), but I believe the quizzes are motivating them to study harder for the final exam. This year I ended the program one hour late in the revision week. This is due to the fact that I missed 4 hours of teaching due to bank holidays, I did two 1-hour feedback sessions (after each of the quizzes) and 1-hour session for the informal feedback and related comments. It would be wise to ask to reschedule the 2-hours slot out of Monday. This would allow to miss less classes.  "	28%	Feedback was done within 24 hours by personal email (the computer based quiz allows to do this).	Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	The current syllabus is:<br /><p><strong>Basic concepts</strong>.<br /> <br />Definition and specification of algorithms, and asymptotic estimates of their running times. Examples include algorithms for sorting numbers, branch and bound and divide and conquer algorithms.<br /> <br /><strong>Graphs and Networks.</strong><br /> <br />Definitions. Kruskal's and Prim's minimum spanning tree algorithms. Hamiltonian cycles and the Travelling Salesman Problem.<br /> <br /><strong>Shortest path algorithms.</strong><br /> <br />Dijkstra's algorithm, Bellman-Ford algorithm, Floyd's algorithm.<br /> <br /><strong>Network flow algorithms.</strong><br /> <br />Networks and flows, the Ford-Fulkerson algorithm, the max-flow min-cut and integrality theorems, and variations on the Ford-Fulkerson algorithm.<br /> <br /><strong>Matchings.</strong><br /> <br />Matchings in bipartite graphs, Hall's and Koenig's Theorems, the Hungarian algorithm, the Koenig-Egervary Theorem, the linear assignment problem. <br /> <br /> <br /><strong>Computational complexity theory</strong>.<br /> <br />NP-completeness, polynomial reduction.<br /> <br /><strong>Approximation algorithms</strong>.<br /> <br />Analysis of worst-case performance, polynomial-time approximation schemes.</p>	I believe the module has now a good structure. I would suggest to keep the computer-based quizzes. Possibly shorten certain topics (i.e., shortest path algorithms) and add few preliminary information about local search and metaheuristic algorithms. 	Module lead	Save and Submit	2161486	Dr Maria Battarra	1403702369	80	0	20	no	no	yes	yes	yes	yes
MATH2015	Dr Marco Caldarelli	The results of the examination were good. Most of the students picked the questions on linear algebra with success. Many students worked out correctly the questions on Fourier transforms and ODE, but very few tried to answer to the PDE questions.	The results of the exam are positive overall. Some comments on each question:    Q1 - Most of the students picked this question of linear algebra and solved the problem correctly    Q2 - Many students chose this question. The first part (a,b and c) was an eigenvalue/eigenvector problem and was solved correctly, but the second part, that was a straightforward application of the results of the previous points to a simple system of coupled ODEs, was not solved as well. The link between the last point and the previous ones should have been clearer to the students.    Q3 - This questions was answered quite well by the students. Evaluating the series in particular points (question d) seems to be where the students have more difficulties.    Q4 - Students choosing this question did well overall. Some students should become more   proficient at differentiating and manipulating algebraic expressions    Q5 - Few people chose to solve PDEs. This was a simple PDE to solve with the method of characteristic curves, similar to examples given in class, but only a few students handled it successfully.    Q6 - This question was picked by very few students. It was an easy PDE question, and very similar to a problem I insisted on during revision week; it should have been an easy pick for everybody, but students tend to prefer longer linear algebra questions to easy PDE questions..	8%	-	Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	The current syllabus is:<br /><p><strong>Matrices:</strong> Properties of matrices, determinants, and inverses. The soution of both homogeneous and inhomogeneous linear systems by row reduction to Hermite form. Linear independence and orthogonality of vectors. Scalar products. Calculating eigenvalues and eigenvectors of a matrix. Matrix diagonalization. Matrices and systems of ordinary differential equations.<br /> <br /><strong>Fourier series:</strong> Convergence. Orthonormality relations. Gibbs phenomenon. Half-range expansions. Complex Fourier series. Integration and differentiation of Fourier series.<br /> <br /><strong>Ordinary Differential Equations:</strong> Exact integration. Integrating Factors. Initial versus boundary value problems. Reduction of order. Variation of Parameters. Eigenvalues and Eigenfunctions.<br /> <br /><strong>Partial Differential Equations:</strong> Method of characteristic curves. Separation of variables solution of the diffusion equation, the wave equation, and Laplace's equation.</p>	Find a way to have students solve PDE questions during the exam, as it seems that part of the course tends to be avoided in favour of linear algebra or Fourier series problems.	Module lead	Save and Submit	2201186	Dr Marco Caldarelli	1409569102	80	20	0	no	no	yes	yes	yes	yes
MATH2039	Dr Vesna Perisic	This year the exam paper was not more difficult than intended. 	Analysis could be a challenge to teach. This is also reflected  in the module questionnaire. It is not easy to make all students happy. 	41%	My feeling is that this year everything went reasonably well. There were not too many students (ca. 160) and the lectures were given in a nice lecture theatre.   These aspects made a positive contribution. 	Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.    The feedback was emailed to the students.	 The No major changes this year.	To explore how to enable a better on-going communicatio with students.  	Module lead	Save and Submit	1640607	Dr Vesna Perisic	1396885199	80	10	10	no	no	yes	yes	yes	yes
MATH2040	Prof James Vickers	There was a problem with class test one. The coursework was therefore scaled to give an average of 60%. The exam was also scaled to bring the pass/fail borderline and B/C borderline to the appropriate point. 	The original lecturer for this module Dr Oertel was a lecturer who was new to Southampton and had not taught this material before and obtained a very poor overall evaluation. There are many negative comments from the students relating to the first half of the module.     We became aware of the problems with the lecturer about halfway through the module and the last third was taught by Dr Kennedy. He obtained an excellent rating from the students obtaining a score of over 4.5. Overall the module scored an average of 2.8 which is significantly lower than in prewvious years. it was clear ffom the written comments that this was largely due to the problems at the start of the module where there were problems with the material covered by the lecturer and the style of the lectures. There were some positive comments about the new set book. 	45%	As explained above the initial lecturer deviated to some extent from the module specification - spending time on some aspects that were not central to the module. This was corrected by Dr Kennedy and the students performed well on quite a testing exam (which was set by Professor Vickers who had taught the module the previous year). 	Feedback has been  included on the blackboard page for the module and the students have been informed of this by email.  	The current syllabus is effectively set by the requirements that it satisfy the exemption requirements of the FIA.  The current syllabus is:   :<br /><ul>  <li>Simple and compound interest. Time value of money, rate of interest, rate of discount, and force of interest. Accumulated values and discounted values. Accumulation and discounting of a (possibly infinite) cash flow to a given time, where both the rate of cash flow and the force of interest may be time-varying.</li>  <li>Relationships between rates of interest and discount over different time periods. Nominal rates, effective rates, rates payable multiple times per annum.</li>  <li>Definition of the standard compound interest functions and relationships between them.</li>  <li>Generalised cash flow modelling. Equation of value for a cash flow problem, and methods of solution.</li>  <li>Loans. Equation of value corresponding to periodic repayment of a loan. Interest and capital content of annuity payments where the annuity is used to repay a loan.</li>  <li>Net present value (NPV), accumulated profit, and internal rate of return (IRR) for investment projects.</li>  <li>Investment project appraisal using NPV and IRR. Real rate of return in presence of inflation.</li>  <li>Measurement of investment performance.</li>  <li>Ordinary shares. Constant dividend growth model of share valuation. Fixed-interest securities. Present value and redemption yield for a fixed-interest security, including effects of taxation.</li>  <li>Yield curves and the term structure of interest rates.</li>  <li>Investment and risk characteristics of standard asset classes (Government fixed-interest securities, other fixed-interest securities, equities, etc.) available for investment purposes.</li>  <li>Discounted mean term, volatility. Matching of assets and liabilities, immunization.</li>  <li>Simple stochastic interest rate models. Mean, variance, and distribution function for the accumulated amount of an initial investment, and applications.</li>  <li>Forward interest rates. Forward contracts. The concept of no-arbitrage pricing and its use in determining the fair value of a forward contract.</li>  </ul>	The main enhancement will be to revert to the use of an experienced Southampton lecturer for the whole of the module. However the use of the new textbook for this year will be continued as it covers the syllabus of the module and recieved positive comments from the students. 	Module lead	Save and Submit	1145533	Prof James Vickers	1403711773	80	0	20	no	no	yes	yes	yes	yes
MATH2044	Prof Konstantinos Skenderis	The performance of the students in this module was very good. All students that actively followed this module (attended the lectures, took the quizzes etc.) achieved a passing mark and many got more than 70%. I believe the preparation for the quizzes helped the students to keep up with the material and also the quizzes gave them a quick feedback on how they are doing. This helped them to prepare well for the final exam.     Some of the issues I noticed last year (students not fluent with basic differentiation, solving (easy) differential equations, basics in linear algebra (e.g. definitions of eigenvalues, trace, determinant etc.) and complex analysis (e.g. taking norms of complex functions etc.)  ) are still present. It is also still the case the many students appear to be weak on the physics background (e.g. familiarity with notions of force, energy, work etc.) needed for the last part of the course. The last part of this course on electromagnetism remains the most difficult part of this module.  	This module was received well by the students. Their evaluation on all aspects of this module was positive. In particular, the students evaluated very positively the initiative of having quizzes instead of more traditional homework style coursework. Based on this feedback, I will continue having quizzes next year. The structure of the lectures and tutorials was also evaluated positively so I will continue without major changes.  There were a couple of comments about the last part of the module (electromagnetism) and I believe this part needs some further improvement (more below on question 12).	21%	Regarding question 4: there is no need to major updating but see answer to question 12.  Regarding question 5, see answer to question 1.	Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	The current syllabus is:<br /><p>PART A: TENSOR CALCULUS<br /><br />1. <strong>Cartesian Tensors</strong><br /><br /> Cartesian tensors and index notation: Vector identities using index notation; Levi – Civita symbol;<br /><br /><strong>2. Applications of tensors</strong><br /><br />Rate of strain tensor in fluid dynamics, strain tensor in solid mechanics, Axial vectors as antisymmetric tensors;  Constitutive equations for linear anisotropic media.<br /><br />PART B: INVISCID FLUID DYNAMICS<br /><br />3. <strong>Basic Definitions</strong><br /><br />Streamlines; rate of change; pressure.<br /><br />4. <strong>Fundamental equations</strong><br /><br />Equation of continuity; Euler’s equation and its boundary conditions; Bernoullis equation<br /><br />5. <strong>Simple fluid flows</strong><br /><br />Examples of simple flows; two dimentional, steady, irrotational, incompressible flow.<br /><br />6. <strong>Complex potentials</strong><br /><br />Basic theory; Derivaton of complex potentials for particular flows; complex potentials in the presence of boundaries; Schwarz-Christoffel mapping; force on bodies.<br /><br />PART C: ELECTROMAGNETISM<br /><br />7. <strong>Electrostatics</strong><br /><br />Definition of electric field; Maxwell’s equations for an electric field; Existence and uniqueness of the solution to the electrostatic equation; Scalar potential;Ohm's Law.<br /><br />8. <strong>Magnetism</strong><br /><br />Definition of magnetic field; Vector potential; Maxwell equations.<br /><br />9. <strong>Light and</strong> <strong>electromagnetic waves</strong><br /><br />Derivation of the wave equation; solution of the wave equation in vacuum; plane wave limit; polarisation of a light wave.<br /><br /><br /> </p>      The main changes I made to this module this year were:    -I replaced the homework style part of the coursework work by 4 quizzes, each covering 25% of the material. For each quiz I provided a list of questions a week or two before the quiz and one of these questions (or a variant of it) was in the quiz. This worked very well as the questions provided guidance for revision and also the quizzes helped the student to keep up with the material in the course.    -I added more introductory material on physics concepts and on mathematical prerequisites in the last part of this module (electromagnetism).  I think this helped the students to follow more easily the material in this part of the module.  	 The weakest part of this module is the last part on electromagnetism. This part is somewhat unbalanced. It consists of three chapters: one on electrostatics, one on magnetism and one on light and electromagnetic waves.  The chapters on magnetism and light and electromagnetic waves are too brief  (not having enough examples and introductory material) while the chapter on electrostatics contains advanced material that could be omitted in a course that only aims to cover the very basics.  I suggest that one removes the discussion of electric dipoles and of Ohm’s law from this chapter and develop more the other two chapters by including more examples and introductory material.  	Module lead	Save and Submit	2167603	Prof Konstantinos Skenderis	1405516172	80	0	20	no	no	yes	yes	yes	yes
MATH2045	Dr Marika Taylor, Prof Timothy Sluckin	No.	MATH2045 has in most years been considered a rather difficult module and a number of students are not enthusiastic about it from the start but need to attend because it is compulsory in their programs. We are doing our best to engage with these students and get them through the module.    This is the second year that the module has been taught by Tim Sluckin and myself, and we have made several improvements relative to last year (extended complex variable theory notes, changes to tutorial classes). 	25%	Both courseworks were marked within a week and feedback was given on Blackboard and in tutorial classes.     The class test was marked within a week and detailed feedback was given on Blackboard and in a tutorial class.     Students who studied the coursework solutions and class test solutions generally did very well in the exam and several commented to me that the feedback was helpful.	Feedback was included on the blackboard page for the module and the students were informed of this by email within one week of the relevant exam board.	The main change was extension of the complex variable theory notes to include many more diagrams, explanations and examples. Students did perform much better in the complex variable theory part of the exam relative to previous years. 	Next year I would like to improve the performance of the weakest students. MATH2045 is in the first semester of the second year and a number of students find it difficult to adjust to the change in support provided in the second year - without weekly marked homeworks, they do not study the material.     We do not have the resources to mark homeworks each week but I will be looking into possible adjustments to the coursework to make it more effective for the weakest students. For example, MATH2044 has this year piloted a system of quizzes in which students study a number of questions and then complete one every few weeks in class, under test conditions. A similar system for MATH2045 might help the weaker students engage with the material more.	Module lead	Save and Submit	2175371	Dr Marika Taylor	1394097768	80	14	6	no	no	yes	yes	yes	yes
MATH2047	Dr Giles Richardson, Prof Timothy Sluckin	The overall exam performance was very good and demonstrated that most students had really got to grips with the material. On a question by question basis Q1, Q2 & Q3 (Laplace transforms, Eigenvalues & Separation of Variables) were all done very well with only the final part of Q3 (in which the coefficients in the series solution of the PDE are determined by fitting to the initial data) proving a problem to a significant number of people. Q4 (complex numbers) was not done so well (but still not badly) - very few people got the final part in which you were asked to write down the complex representation of u+jv (but this is perhaps not surprising as it is quite hard).	This was the first time the module was given and I think that although the module evaluation results were not bad they should improve once the course settles down. Unfortunately I believe that there will be a large number of changes to the syllabus this coming semester and so this might not happen until 2015/16.	11%	Students have very little knowledge of Fourier Series and this is required for separation of variables. Also the section of complex variables seems surplus to requirements and so we a proposing adding Fourier Series at the expense of complex variables.	Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	This is the first time this module has been given.	The revised course will probably look like    -  2nd order ODEs  -  Laplace Transforms  -  Eigenvalue problems (including Sturm-Liouville)  -  Fourier series and transforms  -  Separation of variables    (notably complex variables have been dropped and Fourier analysis added)	Module lead	Save and Submit	1986163	Dr Giles Richardson	1394105711	80	20	0	no	yes	no	yes	yes	yes
MATH2048	Prof James Vickers	Most students attended lectures diligently and attempted the weekly problem sheets. They also worked hard on the coursework, obtaining justifiably high marks. This was a new module and as a result the examination questions, although of an appropriate standard, were fairly straightforward. As a result the majority of students who had worked hard on this module also obtained good marks in the exam.     Most students engaged well with the Statistics component of MATH2048, through questions and discussions in the computer labs and revision lectures. This is reflected in the large number of high to very high marks in the coursework and the exam section on Statistics.	The student comments on the lectures and the content of the course were all postive. Some students would have preferred smaller tutorial groups but overall the students thought the tutorials were well run. A number of students would have liked coursework returned through the Faculty Office (as happens in Engineering) and I will investigate if this is possible for next year. 	2%	I think more time is needed for the section on vector calculus, so this will require reducing the time spent on some other parts of the module (probably the first section on 2nd order ODEs).	Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	The current syllabus is:    ODE boundary value problems and Sturm-Liouville problems  Fourier series: real and complex  Fourier transforms  Linear partial differential equations: Classification of second order PDEs, the principle of superposition, separation of variables.    Mech, Ship, Aero, ISVR only:  Laplace transforms  Vector calculus    Civil Engineering only:    Further Statistics, including use of Minitab      This was the first year the module was given so there were no changes to syllabus were relevant. For the Statistics component, the proportion of computer labs/tutorials was higher than in the comparable module given in previous years. This led to better student engagement, and subsequently a higher marks profile.	"As sated above there will be no changes to the overall syllabus but slighlty more emphasis will be placed on the vector calculus component. I also intend to supplement the materil on Blackboard by a number of video ""overview lectures"" for some of the key topics.    For the Statistics component, it is planned to introduce more student interaction into the lectures. For example, instead of going through examples on slides, the lecturer will develop the answer on the board jointly with the students. "	Module lead	Save and Submit	1145533	Prof James Vickers	1392810750	80	14	6	no	yes	yes	yes	yes	yes
MATH2048USMC	Prof James Vickers	Most students attended lectures diligently and attempted the weekly problem sheets. They also worked hard on the coursework, obtaining justifiably high marks. This was a new module and as a result the examination questions, although of an appropriate standard, were fairly straightforward. As a result the majority of students who had worked hard on this module also obtained good marks in the exam.     	The student comments on the content of the course were all postive. However although the USMC students had the option to fill in the online questionaire few seem to have done so. Some students would have preferred smaller tutorial groups but overall the students thought the tutorials were well run. A number of students would have liked coursework returned through the Faculty Office (as happens in Engineering) and I will investigate if this is possible for next year. 		I think more time is needed for the section on vector calculus, so this will require reducing the time spent on some other parts of the module (probably the first section on 2nd order ODEs).	Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	This is the first year that the module has run so it is not possible to compare with last year. 	"As sated above there will be no changes to the overall syllabus but slighlty more emphasis will be placed on the vector calculus component. I also intend to supplement the material on Blackboard by a number of video ""overview lectures"" for some of the key topics.This is especailly aimed at the USMC students    "	Module lead	Save and Submit	1145533	Prof James Vickers	1403710226	100	0	0	no	yes	yes	yes	yes	yes
MATH3012	Prof Zudi Lu	As a new staff member first teaching this module, I am happy that all the class of Math3012 of 2013-14 did achieve well. Among 71 students who sat the final exam, all of them passed the module in total marks (while only 4 students got raw exam marks lower than 40). Clearly, the students did well in learning this module though I knew that some of them could have done better if they were more active and positive in attending the lectures and tutorials.	I would say thank you to all student feedback. As an international academic staff member with English not the first language, I realised that some of the students might have some concerns over my speaking. In the future teaching, I would try to speak more slowly and write more clearly on whiteboard to help students and also encourage students to be more concentrtated in class and active in asking questions. I am more than happy to help all students in person in learning Statistics. It shall of ocurse be stressed that what I teach is Statistics.	20%	Though only a small portion of students (only about 20 among more than 70) in the class of Math3012 of 2013-14 participated in the online iSurvey,  which might make it with biased information in evaluation, I did find that it provided helpful information to understand the students (at least a portion of the students) and their possible behaviours, attitudes and actions in learning this module. 	Feedback was included on the blackboard page for the module and the students were informed of this by email within one week of the relevant exam board.	The current syllabus is:<br /><p>The module consists of 12 weeks of lectures. The topics for the weeks are roughly as follows:<br />Week 1: Introduction. Revision of distribution theory.<br />Weeks 2-4: Revision of linear models and statistical inference.<br />Weeks 5-9: GLMs: theory and application.<br />Weeks 10-11: Log-Linear models and contingency tables.<br />Week 12: Exam preparation</p>    This is my first year teaching this module as a new staff member at this university.    	Some changes will be made to enhance the module, accoring to studnets' comments that look feasible. In the teaching of next year, I would try to write more clearly on whiteboard and speak more slowly and clearly to help students and also try to motivate students to be more active and positive in learning and active in asking questions. It would also be helpful to learn from other colleagues' experiences, such as how to provide students with qualitative individual feedback with pieces of coursework marked by a Teaching Assistant.     	Module lead	Save and Submit	2570025	Prof Zudi Lu	1406755164	50	50	0	no	no	yes	yes	yes	yes
MATH3013	Dr Navid Izady, Dr Athanasios Avramidis	The marks are within the expected range for the number of students attending the course.  	The students are pretty satisfied with the course content and delivery as  indicated by an overall rate of 4.45.     Main Lectures:  There are minor issues with regard to the notes, which must be rectified for the next year.     Simulation Labs:   None    	11%		Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	Main Lectures:   - Home assignments were used as formative assessment: One question per week to be answered by students by the end of the week. Individual feedback provided.  - More examples were included in the lectures  - The order of presenting the material changed  These were all positively received by the students as indicated in the module questionnaire.    Simulation Labs:  None	Main Lectures:  The notes must be modified to reflect the new order adopted this year as well as omissions. Home assignments must be run in a more organized way, to give students enough time to work through them, and to give them feedback in a short period.    Simulation Labs:    A few students felt that help with the simulation coursework could be better. Having well-trained PhD demonstrators is one helpful element in this direction. An introductory lecture to Simul8, at an appropriate time during the term, will be considered.    	Module lead	Save and Submit	2102447	Dr Navid Izady	1404836412	60	40	0	no	no	yes	yes	yes	yes
MATH3014	Dr Kalliopi Mylona	No problems with the coursework and the exam	Most of the complaints was about the fact that I do not give solutions to the past paper exams. I tried to deal with that by dedicated the revision week on answering questions with respect to the past papers. The students tried to solve the past exams by themselves and I answered at any question that they had. Also some complaints were about the fact that the tutorial exercises do not count at all at the final mark. However, I believe this should remain the same, since it is a third year module and the coursework and the exam should be enough for assessment. The feedback in the middle of the semester it was very helpful. I tried to improve my writing on the board.	12%		Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	The current syllabus is:<br /><p>Introduction, motivation and principles of designed experiments<br /><br />Revision of regression and the linear model<br /><br />Comparative experiments with a single factor<br /><br />- completely randomised designs<br /><br />- block designs (particularly balanced incomplete block designs)<br /><br />Factorial experiments<br /><br />- including fractional factorial designs and block designs (at 2 levels)<br /><br />Computer-generated designs and optimality criteria<br /><br />Screening designs*<br /><br />- including orthogonal arrays and supersaturated designs<br /><br />Random-block effects and split-plot experiments*<br /><br />Response-surface methods<br /><br />Introduction to optimal design and approximate theory<br /><br />Advanced topics (as time allows)<br /><br />- nonlinear design<br /><br />- computer experiments<br /><br />- quality improvement<br /><br />*denotes topics where the material will be primarily covered in computer worksheets or workshops<br /><br />Applications and case studies will be used to motivate and illustrate throughout</p>    I gave the SAS worksheets much in advance, so the students could work out with them before the lab. I added more examples. I organised better the blackboard. Feedback in the middle of the semester.	I should give more time to the students to check their corrected coursework. Still, I may need to add more practical examples.	Module lead	Save and Submit	2133458	Dr Kalliopi Mylona	1394201077	80	0	20	no	no	yes	yes	yes	yes
MATH3017	Dr Maria Battarra, Dr Hou-Duo Qi	no	everything went well	7%	-	Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	The current syllabus is:<br /><ul>  <li>Building linear programming models. Hard and soft constraints. Multi-objective problems: goal programming. Multi-period model. Multi-plant problem. Trim loss problem.</li>  <li>The simplex method and its underlying principles. Review of the simplex method. Basic feasible solutions: why the simplex method generates an optimal solution. Degeneracy and anti-cycling pivoting rules: perturbation and Bland's smallest subscript rule. Performance of simplex method in practice.</li>  <li>Duality. Motivation: generating upper bounds and economic considerations. Duality theorems: strong and weak duality, complementary slackness. Testing optimality.</li>  <li>Sensitivity analysis. Ranging analysis: objective function coefficients and right hand sides. Economic considerations.</li>  <li>Variants of the simplex method. Dual simplex method. Revised simplex method.</li>  <li>Minimum cost network flow problem. Formulation of the minimum cost network flow problem and its dual. Network simplex method. Decomposition theorem and degeneracy. Applications: production planning problem.</li>  <li>Integer programming. Building integer programming models: examples with zero-one variables. General purpose branch and bound algorithm. Balas' additive algorithm for zero-one problems. Special purpose branch and bound algorithms: knapsack problem</li>  </ul>  	See our Response to HOG's Comments	Module lead	Save and Submit	2161486	Dr Maria Battarra	1401355538	80	20	0	no	no	yes	yes	yes	yes
MATH3018	Dr Ian Hawke	No	About the same as in previous years: there remains an issue teaching the basics of Matlab sufficiently to get the students comfortable with the implementation side. 	14%	There are no pre-requisites. It is still the case that the majority of students are not comfortable with the programming/Matlab aspects - these skills do not seem to transfer from previous modules. Whilst there is lots of material to support the students learning Matlab, some do not seem to know where to start with it, and producing more material just seems to confuse.	Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	No changes were made.	"Whilst no 3018 specific changes are planned, 6111 will change (10->15 credits) so they will be taught together. This will simplify the lecturing - no longer the ""parallel"" tracks."	Module lead	Save and Submit	1779591	Dr Ian Hawke	1394099231	60	30	10	no	no	yes	yes	yes	yes
